"","","","","","","","","","","","","","","","","","","","","","","",""
"Pour chacune de ces affirmations, sélectionnez l'option qui reflète le mieux votre ressenti à propos de cette unité d'enseignement","","","","","","","","","","","","","","","","","J'ai eu des difficultés à comprendre les sujets suivants","","","","","Inscription à un ou des cours d'appui",""
"Les attentes et les objectifs sont clairement définis","La structure du cours sur GitHub est cohérente, facile d'accès et permet de retrouver rapidement les informations que je cherche","Les contenus (supports, présentations, consignes, énoncés, etc.) sont pertinents et me permettent de travailler de façon autonome","Les présentations orales sont pertinentes et permettent de mieux comprendre la matière","Lorsque j’ai rencontré des difficultés, j’ai pu trouver des réponses à mes questions (grâce aux discussions en classe, aux supports de cours, etc.)","J'apprécie la durée courte des parties théoriques au début de chaque cours","Le cours est varié, motivant et permet de ne pas m'ennuyer","Les exemples et les exercices sont pertinents et adaptés à mon niveau","Les mini-projets sont pertinents et adaptés à mon niveau","J'ai réalisé tous les exercices proposés","J'ai réalisé tous les mini-projets proposés","Le temps à disposition pour réaliser les exercices le mini-projet était correct","J'avais les pré-requis necessaires pour le cours ProgServ1 (contenus des cours OutDév, DocuWeb, RésInt, ProgIM1, ModelDon)","Je me sens capable de réaliser une petite application web avec PHP pour gérer une collection d'objets (visualisation, insertion, modification et suppression)","J'aurais plaisir à suivre un cours qui reprend la même méthode d'enseignement","J'ai particulièrement apprécié...","J'ai moins apprécié et je propose...","Introduction à PHP","Tableaux et boucles","Fonctions","Formulaires HTML et validation","Bases de données et PDO","J'aimerais pouvoir avoir un ou des cours d'appui","Autres remarques et commentaires"
"Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Pas du tout d'accord ★☆☆☆","Plutôt d'accord ★★★☆","Pas du tout d'accord ★☆☆☆","Pas d'accord ★★☆☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","","","","","X","X","","",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","","","","X","X","","","X","J’aimerais avoir un cours d’appui pendant la semaine de révision "
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","l'organisation du cours & les consignes claires détaillées avec les explications à chaque fois pour les bout de code ","La partie formulaire du projet contient beaucoup de bout de code déjà écrit et avec beaucoup de texte à lire pour les explications, il serait mieux de faire du code par sois même afin de mieux mémorisé et peut être comprendre par sois même. ","","","","","","",""
"Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","les parties théoriques au début du cours qui est en générale assez court. Et également le fait que le prof explique très bien le cours et répond aux questions avec beaucoup de compréhension.","ce n'est pas que j'ai moins apprécié mais le cours est parfois très rapide pour suivre mais c'est la seule chose à redire.","","","","X","X","",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","la diversité du cours et comment le cours est organisé ","pas assez de temps pour faire le mini-projet ET les exercices","","X","X","","","X",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","la dynamique du cours et l’implication du professeur ","parfois la partie théorique allait peut-être un peu vite, j’aurai parfois préféré que cela soit plus « lent » pour que j’aille le temps de prendre + de notes de mon côté ","","","","","X","",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","La manière dont la théorie est expliquée. Très claire, compréhensible ","","","X","X","","","X",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","La grande liberté que l’on à pour faire dalles exercices et le mini-projet. Les question qu’on peut avoir sont répondues avec assurance.","La partie théorique peut parfois être un peu rapide. Le fait qu’il y ait peu de théorie et qu’on air beaucoup de temps par après balance un peu les choses mais si la théorie pouvait être légèrement plus lente ce serait bien.","","","","","","",""
"Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Pas du tout d'accord ★☆☆☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","La clarté des explications et le fait de répondre volontiers et activement à toute question","Le surplus de commentaires et textes dans les consignes du mini projet. Il rendent parfois les tâches simples fastidieuses. Je propose de mettre la consigne minimale et de proposer des indices déroulants pour nous guider si besoin.","X","","","","","","Merci beaucoup !"
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","La structure du cours théorie/pratique.
La façon d’enseigner où je me suis toujours sentie à l’aise à poser des questions.","","","","","X","X","X",""
